"#","Registration No / Notification No","Product Name","Holder"
"76","MAL13125045T","Yi Zi Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"77","MAL14015032T","An Zhong San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"78","MAL14055034T","Qiang Huo Sheng Shi Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"79","MAL14055126T","Run Chang Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"80","MAL14025037T","Dang Gui Shao Yao San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"81","MAL14035030T","Zi Yin Jiang Huo Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"82","MAL14055064T","Syh Nih Sann Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"83","MAL14055032T","JYY SOW SANN EXTRACT GRANULES `TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"84","MAL14015029T","Chai Hu Jia Long Gu Mu Li Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"85","MAL14075013T","GAN LUH YIIN EXTRACT GRANULES'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"86","MAL14055033T","Zhu Ye Shi Gao Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"87","MAL14055031T","Shen Tong Zhu Yu Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"88","MAL14025034T","SANG JYU YIN EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"89","MAL14055157T","Shawr Yaw Gan Tsao Tong Extract Granules""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"90","MAL14015095T","Xin Ell Chern Tong Extract Granules`TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"91","MAL14055108T","YUH NEU JIAN EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"92","MAL14105065T","Dang Guei Shawr Yaw San Extract Granules""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"93","MAL14015096T","Xin Wuu Ling San Extract Granules`TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"94","MAL14015097T","Xin Chair Hwu Jia Long Muw Tong Extract Granules'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"95","MAL14015098T","TAO HUNG SYH WUH TONG EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"96","MAL14015091T","SHEN LING BOR JWU SAN EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"97","MAL14085036T","HWANG CHYI WUU WUH TONG EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"98","MAL14025050T","BA JEN TONG EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"99","MAL14015099T","Xin Dah Chair Hwu Tong Extract Granules'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"100","MAL14055186T","LUH JIUN TZYY TONG EXTRACT GRANULES'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"101","MAL14055069T","Xin Tian Wang Buu Shin Dan Extract Granules 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"102","MAL14055103T","TIAN MA GOU TERNG YIN EXTRACT GRANULES `TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"103","MAL14055071T","XIN SHENG MOH YIN EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"104","MAL14125093T","SHIUEH FUU JWU IU TONG EXTRACT GRANULES`TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"105","MAL14015027T","Guey Jy Fwu Ling Wan Extract Granules `TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"106","MAL14055030T","Guey Jy Jia Long Muu Tong Extract Granules 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"107","MAL14015100T","JING FARNG BAY DWU SAN EXTRACT GRANULES `TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"108","MAL14015101T","XIN JEU REU HWA MING YIN EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"109","MAL14015102T","Xin Lii Jong Tong Extract Granules 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"110","MAL14105011T","SHIAU YAU SAN EXTRACT GRANULES""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"111","MAL14055079T","Dang Guei Nean Tong Tong Extract Granules'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"112","MAL14015103T","Xin Suan Tzao Ren Tong Extract Granules'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"113","MAL14055080T","YEANG IN CHING FEY TONG EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"114","MAL14055142T","Sheau Jiann Jong Tong Extract Granules `TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"115","MAL14025051T","CHIHG SAO CHIU FEI TONG EXTRACT GRANULES `TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"116","MAL14055083T","JWU YEH SHYR GAU TONG EXTRACT GRANULES `TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"117","MAL14055084T","BOR HU TONG EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"118","MAL14055085T","Shinq Su Yiin Extract Granules'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"119","MAL14015105T","Xin Shing Su San Extract Granules 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"120","MAL14055143T","SHA TSAN MAY DONG TONG EXTRACT GRANULES `TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"121","MAL14055086T","XIN Gan May Dah Tzao Tong Extract Granules'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"122","MAL14055025T","Xin May Men Dong Tong Extract Granules 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"123","MAL14055168T","Zhu Ling Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"124","MAL14055144T","Huang Qi Wu Wu Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"125","MAL14055112T","Dang Gui Bu Xie Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"126","MAL14055145T","Qing Zao Jiou Fei Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"127","MAL14055114T","Gan Lu Yin Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"128","MAL14075027T","Xin Yi Qing Fei Yin Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"129","MAL14055072T","Mai Men Dong Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"130","MAL14095016T","Tian Wang Bu Xin Dan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"131","MAL14075016T","Shao Yao Gan Cao Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"132","MAL14055035T","Si Jun Zi Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"133","MAL15015097T","Shu Jing Huo Xie Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"134","MAL15025012T","Zhi Gan Cao Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"135","MAL14105016T","Shang Zhong Xia Tong Yong Tong Feng Wan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"136","MAL14105017T","Xiao Cheng Qi Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"137","MAL14095044T","Chai Hu Qing Gan Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"138","MAL14105018T","Yue Ju Wan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"139","MAL14055090T","Shang Qing Wan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"140","MAL14095045T","Ping Wei San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"141","MAL14125014T","Gui Lu Er Xian Jiao Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"142","MAL14105019T","Ba Wei Di Huang Wan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"143","MAL14055091T","Ji Sheng Shen Qi Wan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"144","MAL15055013T","Bao He Wan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"145","MAL15015012T","You Gui Wan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"146","MAL14105051T","Ban Xia Tang Extract Granules C.F.T.","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"147","MAL15045020T","Ren Shen Li Zhong Tang Extract Granules C.F.T.","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"148","MAL14125034T","Ge Gen Huang Qin Tang Extract Granules C.F.T.","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"149","MAL15015018T","Ge Gen Tang Extract Granules C.F.T.","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"150","MAL14105073T","Gou Teng San Extract Granules C.F.T.","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"151","MAL14125165T","Su Zi Jiang Qi Tang Extract Granules C.F.T.","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"152","MAL15045035T","Bu Yin Tang Extract Granules C.F.T.","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"153","MAL14105028T","Huang Qi Jian Zhong Tang Extract Granules C.F.T.","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"154","MAL14105025T","Yin Chen Wu Ling San Extract Granules C.F.T.","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"155","MAL15095028XC","UTIpure Effervescent Granules","Live-Well Nutraceuticals Sdn. Bhd."
"156","MAL14105074T","DANG GUEI BUU SHIUEH TANG EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"157","MAL14105079T","DANG GUEI YIIN TZYY EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"158","MAL14105080T","BOR HER GUH JIN TONG EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"159","MAL14125091T","CHII JYU DIH HWANG WAN EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"160","MAL14125022T","CHAIR GER JIEE JI TONG EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"161","MAL14105077T","JIUAN BIH TONG EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"162","MAL17015002T","KPC HERBS ZHI SOU SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"163","MAL16125018T","KPC HERBS JING FANG BAI DU SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"164","MAL16125056T","KPC HERBS XIAO YAO SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"165","MAL17015006T","KPC HERBS LI ZHONG TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"166","MAL16125019T","KPC HERBS XUAN FU DAI ZHE SHI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"167","MAL17015007T","KPC HERBS DU HUO JI SHENG TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"168","MAL17015004T","KPC HERBS CHUAN XIONG CHA TIAO SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"169","MAL17015005T","KPC HERBS LIANG GE SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"170","MAL17015008T","KPC HERBS TIAN WANG BU XIN DAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"171","MAL17015009T","KPC HERBS QING ZAO JIU FEI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"172","MAL16095024N","VITASEN Cal-600 plus Vitamin A, D & C Effervescent Granules (Orange flavour)","WINWA MEDICAL SDN. BHD."
"173","MAL19990670T","PYP WEI-TAI GRANULES 16G","San Jiu Bio-Pharma Sdn. Bhd."
"174","MAL20020189T","PU YANG HUAN WU TANG EXTRACT GRANULES ""SUN TEN""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"175","MAL20020188T","CHAI GE JIE JI TANG EXTRACT GRANULES  ""SUN TEN""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"176","MAL20032191T","CHIH SOU SAN EXTRACT GRANULES ""SUN TEN""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"177","MAL20032094T","DXN Bee Pollen 1g/g Granules","DXN PHARMACEUTICAL SDN. BHD."
"178","MAL04103346T","Granules of Flowers and Leaves of Tienchi","HAI-O MEDICINE SDN. BHD."
"179","MAL05012360T","Sanjin Yu Ye Tox-Ria Granules 12g","ANHONG TRADING SDN. BHD."
"180","MAL06111297T","Zhe Ke Wang Granules 3g","MAH TAI CHINESE MEDICINE REFINERY"
"181","MAL06061422T","Tsang Erh San Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"182","MAL06061611T","Szu Wu Tang Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"183","MAL06071172T","An Chung San (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"184","MAL06081345T","Kuei Chih Fu Lien Wan (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"185","MAL06071221T","Hsiao Ching Lung Tang (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"186","MAL06071222T","Hsiao Yao San (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"187","MAL06071223T","Erh Chen Tang (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"188","MAL06061616T","Shen Ling Pai Chu San (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"189","MAL06071226T","Chi Chu Ti Huang Wan (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"190","MAL06081347T","Kan Lu Yin ( Granules )","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"191","MAL06061617T","Liu Chun Tzu Tang (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"192","MAL06071227T","Pan Hsia Hsieh Hsin Tang (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"193","MAL06061618T","Tu Huo Chi Sheng Tang (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"194","MAL06071229T","Liu Wei Di Huang Wan (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"195","MAL06081350T","Xiang Sha Liu Jun Zi Tang Concoction ( Granules )","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"196","MAL06081351T","Tian Wang Bu Xin Dan  ( Granules )","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"197","MAL06081352T","Shu Jing Huo Xue Tang     ( Granules )","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"198","MAL06081353T","Ge Gen Tang Concoction (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"199","MAL06081356T","Jia Wei Xiao Yao San  (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"200","MAL06081358T","Tang Kuei Lien Tung Tang (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"201","MAL06091577T","Gui Pi Tang  (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"202","MAL06091578T","Jiu Wei Qiang Huo Tang  (Granules)","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
