"#","Registration No / Notification No","Product Name","Holder"
"429","MAL17010022T","KPC HERBS WU LING SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"430","MAL16120046T","KPC HERBS LIU JUN ZI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"431","MAL17010023T","KPC HERBS YU PING FENG SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"432","MAL16120050T","KPC HERBS DANG GUI SHAO YAO SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"433","MAL17020020T","KPC HERBS XIN YI QING FEI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"434","MAL16120051T","KPC HERBS LING GUI ZHU GAN TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"435","MAL20172746T","Bair Huu Jia Ren Shen Tang Extarct Granules ""Ti""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"436","MAL20172695T","KPC HERBS YI ZI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"437","MAL20172719T","KPC Herbs Shi Quan Da Bu Tang Concentrated  Granules","KPM PRODUCTS SDN BHD"
"438","MAL20172744T","CHIANG HWO SHENQ SHY TONG EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"439","MAL20172740T","KPC HERBS BAI HE GU JIN TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"440","MAL20172741T","KPC HERBS SANG JU YIN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"441","MAL20172727T","KPC HERBS REN SHEN YANG RONG TANG CONCENTRATED GRANULES","GGcare Sdn Bhd"
"442","MAL20172715HA","Tylolide Granules for Oral Solution 100% w/w","Weissen Company (m) Sdn. Bhd."
"443","MAL20172747XC","CLEAROGOUT ALKALINISING EFFERVESCENT GRANULES","PAHANG PHARMACY SDN. BHD."
"444","MAL17050012T","XIN) CHAI HU GUI ZHI GAN JIANG TANG EXTRACT GRANULES ""SUN TEN""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"445","MAL17040011T","Qin Jiao Bie Jia San Extract Granules ""Sun Ten""","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"446","MAL17050016T","KPC HERBS CHAI HU SHU GAN TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"447","MAL17050007T","KPC HERBS GUI LU ER XIAN JIAO CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"448","MAL17040014T","KPC HERBS YIN QIAO SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"449","MAL20172793T","KPC Herbs Jiu Wei Qiang Huo Tang Concentrated Granules","KPM PRODUCTS SDN BHD"
"450","MAL20172774T","Huang Qi Wu Wu Tang Concentrated Granules","KPM PRODUCTS SDN BHD"
"451","MAL20172794T","KPC Herbs Qing Xin Lian Zi Yin Concentrated Granules","KPM PRODUCTS SDN BHD"
"452","MAL20172795T","KPC Herbs Qi Bao Mei Ran Dan Concentrated Granules","GGcare Sdn Bhd"
"453","MAL20172796T","An Jong San Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"454","MAL20172851AEZ","hovid-Amoxigran Granules 250mg/5ml (Sugar Free)","HOVID BERHAD"
"455","MAL20172852AEZ","hovid-Amoxigran Granules 125mg/5ml (Sugar Free)","HOVID BERHAD"
"456","MAL17060006T","KPC HERBS LIU WEI DI HUANG WAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"457","MAL17127019T","XIN SAN TZ YEANG CHIN TONG EXTRACT GRANULES ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"458","MAL20173008TC","�TIMING� CHAI HU PLUS EXTRACT GRANULES�","Timing Herbs Sdn Bhd"
"459","MAL20172921TC","TIMING TANG KUEI PLUS EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"460","MAL20172974T","KPC Herbs Shi Wei Bai Du Tang Concentrated Granules","GGcare Sdn Bhd"
"461","MAL17127021T","Shen Tono JWU IU Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"462","MAL17107099HA","PANFAST Salinomycin 12% w/w Granules","Panfast Marketing (m) Sdn Bhd"
"463","MAL20172951HAC","PHARMASIN 100% w/w Granules for use in drinking water","PAHANG PHARMACY SDN. BHD."
"464","MAL17117038XC","AVORAL EFFERVESCENT GRANULES","APEX PHARMACY MARKETING SDN. BHD."
"465","MAL17086038T","KPC HERBS REN SHEN BAI DU SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"466","MAL17086028T","KPC HERBS DANG GUI YIN ZI CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"467","MAL17086024T","KPC HERBS SHENG HUA TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"468","MAL17126082T","KPC HERBS WU LIN SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"469","MAL17086040T","KPC HERBS XIN SHAO FU ZHU YU TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"470","MAL17126087T","KPC HERBS JUAN BI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"471","MAL17126086T","KPC HERBS ZHU LING TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"472","MAL17086036T","KPC HERBS TUO LI XIAO DU YIN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"473","MAL17126075T","KPC HERBS NING SOU WAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"474","MAL17126077T","KPC HERBS YU QUAN WAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"475","MAL17126088T","KPC HERBS BAI HU TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"476","MAL17126076T","KPC HERBS YI GAN SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"477","MAL17106070TC","""TIMING"" TOU LI HSIAO TU YIN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"478","MAL17116028TC","""TIMING"" SHIEE FUU JWU IU TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"479","MAL18026117TC","""TIMING"" SAN ZHONG KUI JIAN TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"480","MAL17116029TC","""TIMING"" SI WU TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"481","MAL17116031TC","""TIMING"" HUANG CHI WU WU TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"482","MAL17096008TC","""TIMING"" SI NI SAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"483","MAL17106069TC","""TIMING"" CHI CHU TI HUANG WAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"484","MAL17116070TC","""TIMING"" TAO HONG SI WU TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"485","MAL17116030TC","""TIMING"" SANG CHU YIN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"486","MAL17096027TC","""TIMING"" TANG KUEI SHAO YAO SAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"487","MAL17116071TC","""TIMING"" CHIH PO TI HUANG WAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"488","MAL17096025TC","""TIMING"" LIU WEI DI HUANG WAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"489","MAL17116007TC","""TIMING"" NEW TANG KUEI SI NI TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"490","MAL17106066TC","""TIMING"" NEW CHUAN CHIUNG CHA TIAO SAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"491","MAL17126074T","KPC HERBS CHAI GE JIE JI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"492","MAL17126078T","KPC HERBS CHAI HU GUI ZHI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"493","MAL17116069TC","""TIMING"" NEW MA XING GAN SHI TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"494","MAL17126053T","�CHUANG SONG ZONG� Liu Wei Di Huang Wan Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"495","MAL17126091T","KPC HERBS CHAI HU QING GAN TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"496","MAL17126084T","KPC HERBS YIN CHEN WU LING SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"497","MAL17126083T","KPC HERBS JING JIE LIAN QIAO TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"498","MAL17126081T","KPC HERBS QING FEI TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"499","MAL18016132T","KPC HERBS BU YANG HUAN WU TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"500","MAL18056123T","KO DA SI NI SAN EXTRACT GRANULES","HENDA NATURAL SDN BHD"
"501","MAL18066001T","KO DA YIN CHEN WU LING SAN EXTRACT GRANULES","HENDA NATURAL SDN BHD"
"502","MAL18056100T","KO DA GAN MAI DA ZAO TANG EXTRACT GRANULES","HENDA NATURAL SDN BHD"
"503","MAL17126016TC","""TIMING"" SHEN LING BAI ZHU SAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"504","MAL17106015TC","""TIMING"" HSING SU SAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"505","MAL17126090TC","""TIMING"" CHAI HU CHING KAN TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"506","MAL18016043TC","""TIMING"" NEW HSIAO FENG SAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"507","MAL17126017TC","""TIMING"" NEW JIU WEI QIANG HUO TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"508","MAL17126014TC","""TIMING"" HUAN SHAO DAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"509","MAL18026086TC","""TIMING"" NEW SUAN ZAO REN TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"510","MAL17126079TC","""TIMING"" BAO HE WAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"511","MAL18016042TC","""TIMING"" NEW XIANG SHENG PO DI WAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"512","MAL17126019TC","""TIMING"" NEW GUI ZHI SHAO YAO ZHI MU TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"513","MAL18026083TC","""TIMING"" NEW ZHENG GU ZI JIN DAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"514","MAL17126013TC","""TIMING"" NEW SHU CHING HUO HSIEH TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"515","MAL18036165TC","""TIMING"" CHAI GE JIE JI TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"516","MAL18036196TC","""TIMING"" HUANG CHI CHIEN CHUNG TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"517","MAL17126071TC","""TIMING"" PU YANG HUAN WU TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"518","MAL17126068T","�CHUANG SONG ZONG� Jia Wei Xiao Yao San Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"519","MAL18026119T","�CHUANG SONG ZONG� Xiao Chai Hu Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"520","MAL18016078T","�CHUANG SONG ZONG� Xue Fu Zhu Yu Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"521","MAL18026113TC","""TIMING"" HUANG CHI PLUS EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"522","MAL18026078TC","""TIMING"" NEW PA WEI TI HUANG WAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"523","MAL18026158TC","""TIMING"" NEW CHI SHENG SHEN CHI WAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"524","MAL18026129T","�CHUANG SONG ZONG� Shen Ling Bor Jwu Saan Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"525","MAL18026079TC","""TIMING"" NEW HSIN I SAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"526","MAL18046074TC","""TIMING"" YIN CHIAO SAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"527","MAL18016124TC","""TIMING"" WEN TAN TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"528","MAL18046057T","�CHUANG SONG ZONG� Wu Ling San Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"529","MAL18046109T","�CHUANG SONG ZONG� Wen Jing Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"530","MAL18056051T","�CHUANG SONG ZONG� Gui Zhi Fu Ling Wan Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"531","MAL18046098T","""CHUANG SONG ZONG"" Tian Wang Bu Xin Dan Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"532","MAL18016096TC","""TIMING"" NEW PING WEI SAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"533","MAL17126015TC","""TIMING"" GAN CAO GAN JIANG TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"534","MAL18026118T","�CHUANG SONG ZONG� Bu Yang Huan Wu Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"535","MAL18056052T","�CHUANG SONG ZONG� Shao Yao Gan Cao Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"536","MAL18066014T","�CHUANG SONG ZONG� Jenq Guu Tzyy Jin Dan Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"537","MAL18036188T","�CHUANG SONG ZONG� Er Chen Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"538","MAL18026147T","�CHUANG SONG ZONG� Yin Qiao San Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"539","MAL18036187T","�CHUANG SONG ZONG� Huang Qi Wu Wu Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"540","MAL18026150T","�CHUANG SONG ZONG� Dang Gui Shao Yao San Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"541","MAL18066019T","�CHUANG SONG ZONG� Chai Hu Shu Gan Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"542","MAL18056082HA","Nicarmix 25 granules","Phibro Corporation (m) Sdn Bhd"
"543","MAL18026128TC","""TIMING"" HSIAO CHAI HU TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"544","MAL18026123TC","""TIMING"" HSIN I CHING FEI TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"545","MAL18026135TC","""TIMING"" WU LING SAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"546","MAL17126085TC","""TIMING"" ERH CHEN TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"547","MAL18046053TC","""TIMING"" NEW HSIAO CHING LUNG TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"548","MAL18056046TC","""TIMING"" WU PI YIN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"549","MAL18016039TC","""TIMING"" CHIA WEI HSIAO YAO SAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"550","MAL18036143TC","""TIMING"" PU CHUNG I CHI TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"551","MAL18046055TC","""TIMING"" NEW HUO HSIANG CHENG CHI SAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"552","MAL18026009TC","""TIMING"" NEW SAN SU YIN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"553","MAL18026096TC","""TIMING"" NEW XIANG SHA LIU JUN ZI TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"554","MAL18036183TC","""TIMING"" KAN LU YIN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"555","MAL18036104TC","""TIMING"" FU YUAN HUO SHIEE TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"556","MAL18056095T","�CHUANG SONG ZONG� Xin May Men Dong Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"557","MAL18026130T","�CHUANG SONG ZONG� Sang Ju Yin Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"558","MAL18066015T","�CHUANG SONG ZONG� Da Chai Hu Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"559","MAL18056035T","�CHUANG SONG ZONG� Wu  Wei Xiao Du Yin Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"560","MAL18066004T","�CHUANG SONG ZONG� Guey Jy Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"561","MAL18036103TC","""TIMING"" NEW CHIH KAN TSAO TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"562","MAL18086069T","�CHUANG SONG ZONG� Sheng May Yin Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"563","MAL18036102TC","""TIMING"" CHUAN PI TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"564","MAL18076059T","�CHUANG SONG ZONG� Yuh Neu Jian Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"565","MAL18036179TC","""TIMING"" NEW KUEI PI TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"566","MAL18046069T","�CHUANG SONG ZONG� Jing Fang Bai Du San Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"567","MAL18046056TC","""TIMING"" NEW LONG DAN XIE GAN TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"568","MAL18046058T","�CHUANG SONG ZONG� Yu Ping Feng San Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"569","MAL18046116TC","""TIMING"" REN SHEN PLUS EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"570","MAL18086022T","�CHUANG SONG ZONG� Shao Fu Zhu Yu Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"571","MAL18036174TC","""TIMING"" NEW KO GEN TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"572","MAL18046063TC","""TIMING"" GUEI JHIH TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"573","MAL18046077TC","""TIMING"" LING KUEI CHU KAN TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"574","MAL18036140TC","""TIMING"" CHU LING TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"575","MAL18026126TC","""TIMING"" NEW GUI ZHI FU LING WAN EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"576","MAL18046054TC","""TIMING"" CHAI HU KUEI CHIH TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"577","MAL18076036T","""CHUANG SONG ZONG"" Xiao Yao San Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"578","MAL18076046T","""CHUANG SONG ZONG"" Wen Dan Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"579","MAL18046066T","""CHUANG SONG ZONG"" Qi Ju Di Huang Wan Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"580","MAL18096047T","�CHUANG SONG ZONG� Xin Shi Wei Bai Du San Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"581","MAL18086043T","""CHUANG SONG ZONG"" Suan Zao Ren Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"582","MAL18056131T","""CHUANG SONG ZONG"" Ban Xia Bai Zhu Tian Ma Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"583","MAL18056121T","""TI"" Tsaag Eel San Extract Granules","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"584","MAL19036009AZ","MILOXY Granules for Oral Suspension 125MG/5ML","AVERROES PHARMACEUTICALS SDN. BHD."
"585","MAL18066006T","""TI"" Shyuan Fuh Day Jee Shyr Tong Extract Granules","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"586","MAL18076026T","Taur Her Cherng Chih Tong Extract Granules `TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"587","MAL18106092TCR","SHAKLEE NUTRIFERON GRANULES","SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD."
"588","MAL18086034T","Yn Chyan San Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"589","MAL18096077T","Sheang Sheng Poh Dyi Wan Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"590","MAL18116100T","Dang Gui Si Ni Tang Extract Granules ""C.F.T.""","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"591","MAL18086038T","Jing Bi San Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"592","MAL18066012T","Chi Bao Meei Ran Dan Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"593","MAL18086033T","Yii Tzyh Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"594","MAL18086026T","Yuh Chyuan Wan Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"595","MAL18076025T","Uen Daan Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"596","MAL18086027T","Fuh Yuan Hwo Shiueh Tong Extract Granules `TI` (Chiu Chuan Shan Jia)","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"597","MAL19026035T","`CHUANG SONG ZONG` Bao He Wan Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"598","MAL18096045T","""CHUANG SONG ZONG"" Dang Gui Nian Tong Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"599","MAL18116027T","""CHUANG SONG ZONG"" Xiao Jian Zhong Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"600","MAL18116028T","""CHUANG SONG ZONG"" Li Zhong Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"601","MAL18086078T","""CHUANG SONG ZONG"" Ling Gui Zhu Gan Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"602","MAL18096094T","""CHUANG SONG ZONG"" Yin Chen Hao Tang  Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"603","MAL18106093T","'CHUANG SONG ZONG' Cang Er San Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"604","MAL18116016T","�CHUANG SONG ZONGFuh Yuan Hwo Shiee Tang (Qu Chuan Shan Jia) Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"605","MAL19026034T","�Sun Ten"" Sheng Hua Tang Extract Granules","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"606","MAL18106085T","GER GEN HWANG CHYN HWANG LIAN TANG EXTRACT GRANULES ""SHENG FOONG""","TIANYI SEM MARKETING"
"607","MAL18106116T","San Hwang Shieh Shin Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"608","MAL18086076T","Bann Shiah Shieh Shin Tong Extract Granules `TI`","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"609","MAL18126066T","�CHUANG SONG ZONGSha Tsan Moh Dong Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"610","MAL18096074T","�CHUANG SONG ZONGBa Jen Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"611","MAL18126047T","�CHUANG SONG ZONGChai Hu Gui Zhi Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"612","MAL18106097T","�CHUANG SONG ZONGJing Jie Lian Qiao San Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"613","MAL18116103T","�CHUANG SONG ZONGXin Yi Qing Fei Tang Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"614","MAL18116020T","�CHUANG SONG ZONGZhe Chong Yin Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"615","MAL18096066TC","""TIMING"" SI GAN MING MU TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"616","MAL18096040TC","""TIMING"" CHAI HU SHU GAN TANG EXTRACT GRANULES","Timing Herbs Sdn Bhd"
"617","MAL19026025T","�CHUANG SONG ZONGSi Ni San Concentrated Granules","GREEN HERB BIOTECH SDN. BHD."
"618","MAL19016021T","Bann Shiah Tian Ma Bair Jwu Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"619","MAL18096023T","Ching Shang Farng Feng Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"620","MAL18086074T","Chuyong Guei Jiau Ay Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"621","MAL19046033T","KPC HERBS BAI HU JIA REN SHEN TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"622","MAL19046081T","KPC HERBS DANG GUI BU XUE TANG CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"623","MAL19026056T","KPC HERBS XIE HUANG SAN CONCENTRATED GRANULES","KPM PRODUCTS SDN BHD"
"624","MAL18086082T","Ren Shen Yeang Rong Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"625","MAL18096057T","Chair Hwu Ching Gan Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"626","MAL18096024T","Chir Hwu Shu Gau Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"627","MAL18096021T","Chyn Jlau Bie Jea San Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"628","MAL18126053T","Hwang Lian Jiee Dwu Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"629","MAL18096048T","Jiang Jieh Lian Chyau Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"630","MAL18106079T","Jy Bor Dih Hwang Wan Extract Granules `TI`�","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"631","MAL18116030T","Liang Ger San Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"632","MAL18096039TC","Timing Ching Hsin Lien Tzu Yin Extract Granules","Timing Herbs Sdn Bhd"
"633","MAL19026033T","Ching Lih San Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"634","MAL18116032T","Ger Gen Hwang Chyn Hwang Lian Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"635","MAL18106115T","In Chern Hau Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"636","MAL18096084T","In Chern Wuu Ling Sann Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"637","MAL18126044T","Ning Sow Wan Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"638","MAL19026052T","Sheng Huah Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"639","MAL18096065T","Xin Shaw Fuh Jwu Iu Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"640","MAL18106088T","Shin So Ku Ching Wan Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"641","MAL18106081T","Uen Jing Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"642","MAL18116098TC","YILING ZENTURAL GRANULES","BIO MODERN HERBS SDN. BHD."
"643","MAL18116102T","Xin Bair Tour Ueng Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"644","MAL18116101TC","Timing Shen Tong Jwu Iu Tang Extract Granules","Timing Herbs Sdn Bhd"
"645","MAL19046039T","Yih Chih Tsong Ming Tong Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"646","MAL18126041T","Ching Sin Lien Tzu Yin Extract Granules ""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
