detail_url,page_num,detailed_view_scraped
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3112912750?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3112912751?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51222?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51226?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3921427672?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51232?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3135600590?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4057030301?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56325?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56326?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51240?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51244?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/51245?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56418?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56419?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56420?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56205?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56206?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56207?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/56208?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2189265774?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2189265775?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2480504749?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/817064575?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3222795377?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3222795378?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3536762363?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1693168605?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3508938600?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3423151122?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3815804353?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3815804354?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3815804355?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3809157136?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2768654991?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2994848329?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2423869760?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3099042745?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3099042746?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2169136700?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2166856969?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3336926227?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2281562703?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4063858895?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4254311786?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4254311789?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4254311788?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4254311787?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3732447051?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2937537448?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2937537447?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4448509412?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2649893470?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4025372250?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2892057062?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2423869764?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/4055765815?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/55071?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/55070?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3988470815?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2742724071?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2742724070?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/916181278?t:ac=overview,2,no
https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/966225520?t:ac=overview,2,no
