LOCAL_PACK_CODE,PCID Mapping
MAL19991438AZ,1691316
MAL07031274X,1565887
MAL19987355AZ,1676498
MAL21036010ARZ,1964109
MAL09111737AZ,599895
MAL12025061X,1692161
MAL19880168AZ,1959248
MAL12015002AZ,2221396
MAL20033496AZ,1565950
MAL19096031X,1691647
MAL07090926AZ,134944
MAL16065050AZ,1565857
MAL18106030XZ,1692121
MAL15085010ARZ,1691613
MAL07124618AZ,321547
MAL19950126XC,1959125
MAL19880308AZ,1691335
MAL21036015X,1836240
MAL19870588AZ,1691810
MAL05101665AZ,1691836
MAL19910598XC,1691654
MAL05032538ACZ,619092
MAL19989027AZ,297988
MAL11115007AZ,1565774
MAL19963170AZ,2171688
MAL19971843AZ,65661
MAL19940371AZ,1565921
MAL10033185AZ,737902
MAL19973681AZ,239418
MAL11120002AZ,943725
MAL06081206AZ,388490
MAL20000365AZ,943630
MAL12085072AZ,1691900
MAL19985184AZ,943263
MAL20071712AZ,65650
MAL19972556X,883907
MAL20034662ACZ,1959156
MAL19930608AZ,1692095
MAL16085024AZ,1692020
MAL20046137X,1565816
MAL11110005AZ,600029
MAL20012703ARZ,65419
MAL15015047ACRZ,1901584
MAL19962104AZ,345517
MAL19912925XZ,1901580
MAL20013996ACZ,943963
MAL19973698AZ,1565856
MAL19970106XZ,923442
MAL19921172XZ,1692128
MAL14125122AZ,1421117
MAL07050013AZ,367200
MAL19871075AZ,1692030
MAL13095081AZ,1691817
MAL14025009AZ,1691606
MAL19987336ACSZ,1901608
MAL09051556AZ,1691677
MAL19056016X,1691674
MAL19930530AZ,1901536
MAL20013770AZ,1909791
MAL19973697AZ,1691866
MAL19870643AZ,1691545
MAL20026065AZ,1691757
MAL19900415AZ,944159
MAL19871698AZ,665145
MAL20040626AZ,1901603
MAL20076022ACZ,1692024
MAL20020795AZ,1901501
MAL20020268AZ,1901630
MAL19861176AZ,1691521
MAL21046016AZ,1901537
MAL19911458X,1421118
MAL21106029AZ,1901546
MAL06081207AZ,388492
MAL19860106AZ,943862
MAL17107080AZ,1959253
MAL20021133AZ,1421144
MAL19911425X,1565870
MAL19900029AZ,1837952
MAL19870696AZ,1691779
MAL09042435AZ,515417
MAL20033669AZ,1901508
MAL12075078AZ,1421124
MAL19900182AZ,860911
MAL18016139ARZ,1691603
MAL20000380AZ,943819
MAL19890164AZ,1691925
MAL21016008ACZ,1692007
MAL20021163AZ,512097
MAL16105034AZ,1565781
MAL20014331AZ,490159
MAL19011002AZ,1959152
MAL19991140AZ,943638
MAL23116006AZ,1959246
MAL12055023AZ,1836238
MAL19900254AZ,599855
MAL19983982AZ,1421042
MAL19961334AZ,1959165
MAL19992588AZ,943668
MAL17075017AZ,1691376
MAL20040824X,944097
MAL15025041AZ,1565918
MAL19912671XZ,1692009
MAL20012730AZ,944173
MAL06121028AZ,1565910
MAL20001914XZ,1901614
MAL20014357AZ,943809
MAL19861364AZ,1691297
MAL19984024AZ,1692099
MAL19991440XZ,943211
MAL19991894AZ,943867
MAL20034371XC,943997
MAL19921171XZ,1692124
MAL19984391AZ,1421017
MAL19860357AZ,1691696
MAL13075065AZ,1953473
MAL20076034ACZ,1691262
MAL20031755ARZ,1909805
MAL22116038NCZ,1959251
MAL13085051AZ,1901633
MAL19016005AZ,1901499
MAL10100126AZ,1691274
MAL20033665AZ,1421005
MAL20026044ARZ,1959136
MAL19985560AZ,1565949
MAL19890539AZ,2053880
MAL05101666AZ,1691967
MAL16125031AZ,1692189
MAL20021379AZ,515426
MAL20034390XC,1565826
MAL18106133AZ,1691256
MAL13115205AZ,1565954
MAL06071075AZ,195463
MAL20020688AZ,168562
MAL17035046AZ,1692078
MAL20021165AZ,512096
MAL12095099X,1421091
MAL17107028AZ,1565837
MAL19970958AZ,943344
MAL08042447AZ,1692067
MAL19860825AZ,1691255
MAL19930519AZ,944112
MAL19962580AZ,1691298
MAL06061327AZ,944162
MAL19985554AZ,238926
MAL19973342AZ,199703
