input_company,input_product_name,timestamp,error_message
Galderma,CETAPHIL SUN,2026-01-18T12:02:55,"Driver error during search: Message: 
"
Galderma,CETAPHIL SUN KIDS,2026-01-18T12:03:12,"Driver error during search: Message: 
"
Galderma,CETAPHIL SUN OIL CONTROL,2026-01-18T12:03:14,"Driver error during search: Message: 
"
Trb-Pharma,CETAXIM,2026-01-18T12:03:15,"Driver error during search: Message: 
"
Cetus,CETIRIZINA CETUS,2026-01-18T12:03:17,"Driver error during search: Message: 
"
Teva Argentina,CETIRIZINA TEVA,2026-01-18T12:03:34,"Driver error during search: Message: 
"
Lazar,CETIZINE,2026-01-18T12:03:35,"Driver error during search: Message: 
"
Lazar,CETIZINE L,2026-01-18T12:03:37,"Driver error during search: Message: 
"
Nutentar,CETOGENIK 4:1 NEUTRO,2026-01-18T12:03:38,"Driver error during search: Message: 
"
B-Life,CETOIL TCM,2026-01-18T12:03:55,"Driver error during search: Message: 
"
B-Life,CETOLATE,2026-01-18T12:03:57,"Driver error during search: Message: 
"
B-Life,CETOMIX,2026-01-18T12:03:58,"Driver error during search: Message: 
"
B-Life,CETOMIX CHOCOLATE,2026-01-18T12:03:59,"Driver error during search: Message: 
"
B-Life,CETOMIX VAINILLA,2026-01-18T12:04:17,"Driver error during search: Message: 
"
Lafedar,CETRILER,2026-01-18T12:04:18,"Driver error during search: Message: 
"
Adium,CETRON,2026-01-18T12:04:19,"Driver error during search: Message: 
"
Merck Serono,CETROTIDE,2026-01-18T12:04:21,"Driver error during search: Message: 
"
Omicron,CHACK,2026-01-18T12:04:38,"Driver error during search: Message: 
"
Natufarma,CHIA,2026-01-18T12:04:40,"Driver error during search: Message: 
"
Laboratorio Millet,CHIA ACTIVE,2026-01-18T12:04:41,"Driver error during search: Message: 
"
Pharmamerican S.R.L.,CHIA CAPSULAS VITAMIN WAY,2026-01-18T12:04:42,"Driver error during search: Message: 
"
Lafarmen,CHIA LAFARMEN,2026-01-18T12:05:00,"Driver error during search: Message: 
"
Bagó,CHIA OMEGA-3 BAGO,2026-01-18T12:05:01,"Driver error during search: Message: 
"
Bagó,CHIA PLUS BAGO,2026-01-18T12:05:02,"Driver error during search: Message: 
"
Laboratorio Millet,CHIA STURLA,2026-01-18T12:05:04,"Driver error during search: Message: 
"
Elea,CHIACAPS PREMIUM,2026-01-18T12:05:21,"Driver error during search: Message: 
"
Argenfarma,CHIACUORE,2026-01-18T12:05:22,"Driver error during search: Message: 
"
Provefarma,CHIALESTEROL,2026-01-18T12:05:24,"Driver error during search: Message: 
"
B-Life,CHICK´N MIX,2026-01-18T12:05:25,"Driver error during search: Message: 
"
Ugal Farmacéutica,CIPROFLOXACINA UGAL,2026-01-18T12:12:28,"Driver error during search: Message: 
"
Ultra Pharma,CIPROFLOXACINA UPL,2026-01-18T12:12:30,"Driver error during search: Message: 
"
Vannier,CIPROFLOXACINA VANNIER,2026-01-18T12:12:30,"Driver error during search: Message: 
"
Sant Gall,CIPROFLOXACINA SANT GALL,2026-01-18T12:12:32,"Driver error during extraction: Message: 
"
Labsa,CIPROLABSA OFTAL,2026-01-18T12:12:52,"Driver error during search: Message: 
"
Celnova Argentina,CIPRONOVA,2026-01-18T12:13:13,"Driver error during search: Message: 
"
Techsphere,CIPROTERONA TECHSPERE,2026-01-18T12:13:35,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-18T12:14:32,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-18T12:14:35,"Driver error during search: Message: 
"
Beta,CLAROVIL,2026-01-18T12:17:21,"Driver error during search: Message: 
"
Finadiet,COX-QUIN,2026-01-18T12:37:27,"Driver error during search: Message: 
"
Organon Arg.,COZAAREX,2026-01-18T12:37:31,"Driver error during search: Message: 
"
Organon Arg.,COZAAREX D,2026-01-18T12:37:32,"Driver error during search: Message: 
"
Beta,COXAL,2026-01-18T12:37:35,"Driver error during extraction: Message: 
"
Pharmatrix,CP ACNE DUO MULTIDOSIS,2026-01-18T12:37:53,"Driver error during search: Message: 
"
Pharmatrix,CP ACNE DUO PAK,2026-01-18T12:37:54,"Driver error during search: Message: 
"
Pharmatrix,CP SPOT PATCH,2026-01-18T12:38:00,"Driver error during extraction: Message: 
"
Casasco,CRADA,2026-01-18T12:38:14,"Driver error during search: Message: 
"
Craveri,CRAFINE,2026-01-18T12:38:15,"Driver error during search: Message: 
"
Craveri,CRAVETOL,2026-01-18T12:38:36,"Driver error during search: Message: 
"
Craveri,CRAXABAN,2026-01-18T12:38:37,"Driver error during search: Message: 
"
Laboratorio Millet,CURFLEX CBD,2026-01-18T12:42:20,"Driver error during search: Message: 
"
Laboratorio Millet,CURFLEX DUO,2026-01-18T12:42:21,"Driver error during search: Message: 
"
Delier,DELIER TONICO 3X1,2026-01-18T12:48:08,"Driver error during search: Message: 
"
Gador,DESENSYL MAX,2026-01-18T12:52:21,"Driver error during search: Message: 
"
LKM,DEXAMERAL 40,2026-01-18T12:53:59,"Driver error during search: Message: 
"
Richet,DEXAMETASONA 21 FOSFATO RICHET,2026-01-18T12:53:59,"Driver error during search: Message: 
"
Denver Farma,DEXAMETASONA DENVER FARMA,2026-01-18T12:53:59,"Driver error during search: Message: 
"
PharmaDorf,DEXAMETASONA DORF,2026-01-18T12:53:59,"Driver error during search: Message: 
"
Craveri,DIOSMIN 1000,2026-01-18T13:02:20,"Driver error during search: Message: 
"
Craveri,DIOSMIN CREMA,2026-01-18T13:02:29,"Driver error during extraction: Message: 
"
Siegfried,DIOVAN,2026-01-18T13:02:30,"Driver error during extraction: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-18T13:08:25,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-18T13:08:38,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-18T13:08:39,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-18T13:08:43,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-18T13:11:04,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-18T13:11:04,"Driver error during search: Message: 
"
Pharmatrix,DRUM ß,2026-01-18T13:20:08,"Driver error during search: Message: 
"
Sidus,ELGYMOX DUO,2026-01-18T13:27:21,"Driver error during search: Message: 
"
Siegfried,EMPAX MET,2026-01-18T13:28:55,"Driver error during search: Message: 
"
Isdin,ERYFOTONA AK-NMSC FLUID,2026-01-18T13:37:30,"Driver error during search: Message: 
"
Savant Consumer,FABOGESIC NIÑOS 4%,2026-01-18T13:47:20,"Driver error during search: Message: 
"
Elea,FALGOS EXPENDEDOR X 25 BL,2026-01-18T13:53:42,"Driver error during search: Message: 
"
Trb-Pharma,FALIC 36,2026-01-18T13:53:43,"Driver error during search: Message: 
"
Trb-Pharma,FALIC EXCITACION,2026-01-18T13:54:04,"Driver error during search: Message: 
"
Biopas Argentina,FAMPYRA,2026-01-18T13:54:25,"Driver error during search: Message: 
"
Tuteur,FANIDIN,2026-01-18T13:54:46,"Driver error during search: Message: 
"
Laboratorios Felipe Bajer,FARM-X CREMA,2026-01-18T13:55:08,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-18T14:38:39,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-18T14:38:39,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-18T14:38:40,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-18T14:38:40,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-18T14:39:00,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-18T14:39:01,"Driver error during search: Message: 
"
Pharmatrix,DRUM ß,2026-01-18T14:39:02,"Driver error during search: Message: 
"
