Product,Company,URL,Source,Scraped_By_Selenium,Scraped_By_API
ACEMUK BIOTIC DUO,Siegfried,https://www.alfabeta.net/precio/acemuk-biotic-duo.html,selenium,no,no
ACEMUK DIA Y NOCHE,Siegfried,https://www.alfabeta.net/precio/acemuk-dia-y-noche.html,selenium,no,no
ACEMUK GRIP,Siegfried,https://www.alfabeta.net/precio/acemuk-grip.html,selenium,no,no
ACEMUK JARABE,Siegfried,https://www.alfabeta.net/precio/acemuk-jarabe.html,selenium,no,no
ACEMUK L,Siegfried,https://www.alfabeta.net/precio/acemuk-l.html,selenium,no,no
ACENOCOUMAROL ROSPAW,Rospaw,https://www.alfabeta.net/precio/acenocoumarol-rospaw.html,selenium,no,no
ACERPES,Siegfried,https://www.alfabeta.net/precio/acerpes.html,selenium,no,no
ACETA,Novoplos,https://www.alfabeta.net/precio/aceta.html,selenium,no,no
ACETILCISTEINA TEVA,Teva Argentina,https://www.alfabeta.net/precio/acetilcisteina-teva.html,selenium,no,no
ACI-TIP,Siegfried,https://www.alfabeta.net/precio/aci-tip.html,selenium,no,no
ACICLOVIR GEMEPE,Gemepe,https://www.alfabeta.net/precio/aciclovir-gemepe.html,selenium,no,no
ACICLOVIR PHARMAVIAL 500,IBC,https://www.alfabeta.net/precio/aciclovir-pharmavial-500.html,selenium,no,no
ACIDO AMINOCAPROICO DRAWER,Drawer,https://www.alfabeta.net/precio/acido-aminocaproico-drawer.html,selenium,no,no
ACIDO FOLICO,A.M. Farma Activ,https://www.alfabeta.net/precio/acido-folico.html,selenium,no,no
ACIDO FOLICO RICHMOND,Richmond,https://www.alfabeta.net/precio/acido-folico-richmond.html,selenium,no,no
ACIDO FOLICO VANNIER,Vannier,https://www.alfabeta.net/precio/acido-folico-vannier.html,selenium,no,no
ACIDO HIALURONICO,Provefarma,https://www.alfabeta.net/precio/acido-hialuronico.html,selenium,no,no
ACIDO HIALURONICO VITAMIN WAY,Pharmamerican S.R.L.,https://www.alfabeta.net/precio/acido-hialuronico-vitamin-way.html,selenium,no,no
ACIDO ZOLEDRONICO IMA,IMA,https://www.alfabeta.net/precio/acido-zoledronico-ima.html,selenium,no,no
ACIDO ZOLEDRONICO MICROSULES,Microsules Arg.,https://www.alfabeta.net/precio/acido-zoledronico-microsules.html,selenium,no,no
ACIDO ZOLEDRONICO RICHET,Richet,https://www.alfabeta.net/precio/acido-zoledronico-richet.html,selenium,no,no
ACIFOL,Domínguez,https://www.alfabeta.net/precio/acifol.html,selenium,no,no
ACIFOL 10,Domínguez,https://www.alfabeta.net/precio/acifol-10.html,selenium,no,no
ACIFOL 5,Domínguez,https://www.alfabeta.net/precio/acifol-5.html,selenium,no,no
ACIFOL B12,Domínguez,https://www.alfabeta.net/precio/acifol-b12.html,selenium,no,no
ACIFOL FE,Domínguez,https://www.alfabeta.net/precio/acifol-fe.html,selenium,no,no
ACIFOL GOTAS,Domínguez,https://www.alfabeta.net/precio/acifol-gotas.html,selenium,no,no
ACIFUSIN,Andrómaco,https://www.alfabeta.net/precio/acifusin.html,selenium,no,no
ACIFUSIN B,Andrómaco,https://www.alfabeta.net/precio/acifusin-b.html,selenium,no,no
ACILAC OMEGA 3-6,Novoplos,https://www.alfabeta.net/precio/acilac-omega-3-6.html,selenium,no,no
