input_company,input_product_name,timestamp,error_message
Labsa,LABSALERG ß,2026-01-24T19:57:49,"Driver error during search: Message: 
"
Fortbenton,LISALER ß,2026-01-24T20:11:05,"Driver error during search: Message: 
"
Beta,LOTOQUIS SIMPLE,2026-01-24T20:14:02,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-24T20:27:19,"Driver error during search: Message: 
"
Elea,ANUSOL DUO S,2026-01-24T20:29:26,"Driver error during search: Message: 
"
Elea,ANUSOL DUO,2026-01-24T20:29:26,"Driver error during search: Message: 
"
Alcon,AOSEPT PLUS CON HYDRAGLYDE,2026-01-24T20:29:27,"Driver error during search: Message: 
"
Eczane,APARZO,2026-01-24T20:29:27,"Driver error during search: Message: 
"
Laboratorio Millet,APASMO COMPUESTO,2026-01-24T20:29:28,"Driver error during search: Message: 
"
Laboratorio Millet,APASMO,2026-01-24T20:29:28,"Driver error during search: Message: 
"
Adium,APATRIX 30,2026-01-24T20:29:48,"Driver error during search: Message: 
"
Adium,APATRIX 60,2026-01-24T20:29:48,"Driver error during search: Message: 
"
Rospaw,APECUR,2026-01-24T20:29:48,"Driver error during search: Message: 
"
Fresenius Kabi,APHERESIS KIT SN 2 PLT X6R8882,2026-01-24T20:29:48,"Driver error during search: Message: 
"
Nolter,APITENA,2026-01-24T20:29:49,"Driver error during search: Message: 
"
Siegfried,APLACASSE,2026-01-24T20:29:49,"Driver error during search: Message: 
"
E. J. Gezzi,APOFARM,2026-01-24T20:30:09,"Driver error during search: Message: 
"
Fortbenton,APOCALIPSIS,2026-01-24T20:30:09,"Driver error during search: Message: 
"
Celnova Argentina,APOKINON,2026-01-24T20:30:10,"Driver error during search: Message: 
"
Celnova Argentina,APOKINON STYLO,2026-01-24T20:30:10,"Driver error during search: Message: 
"
Hollister,APOSITO ALG. DE CAL. 10X20 CM REST.,2026-01-24T20:30:11,"Driver error during search: Message: 
"
Hollister,APOSITO ALG. DE CAL. 10X10 CM REST.,2026-01-24T20:30:11,"Driver error during search: Message: 
"
Hollister,APOSITO ALG. DE CAL. 30.5 CM REST.,2026-01-24T20:30:30,"Driver error during search: Message: 
"
Fresenius Kabi,APPLIX PUMP SET VARIOLINE ENFIT UNIVERSAL,2026-01-24T20:30:30,"Driver error during search: Message: 
"
Elea,APREMAX,2026-01-24T20:30:31,"Driver error during search: Message: 
"
Francelab,APRENTICE,2026-01-24T20:30:31,"Driver error during search: Message: 
"
Gador,APRIL,2026-01-24T20:30:32,"Driver error during search: Message: 
"
Gador,Apr-28,2026-01-24T20:30:32,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-24T20:36:41,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-24T20:37:02,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-24T20:38:13,"Driver error during search: Message: 
"
Gray,CAINA-G,2026-01-24T20:39:01,"Driver error during search: Message: 
"
