page,din_rows,ok_rows,unit_only_lines,pack_continuations,generics_detected,headers_found,issues
132,16,16,0,13,1,True,Header calibration weak | Manufacturer pack leaks (16)
133,25,25,0,16,2,True,Header calibration weak | Manufacturer pack leaks (25)
134,29,29,0,2,2,True,Header calibration weak | Manufacturer pack leaks (29)
135,25,25,0,11,3,True,Header calibration weak | Manufacturer pack leaks (25) | Multiple generics (3)
136,33,33,0,15,1,True,Header calibration weak | Manufacturer pack leaks (33)
137,24,24,0,10,3,True,Header calibration weak | Manufacturer pack leaks (24) | Multiple generics (3)
138,28,28,0,8,3,True,Header calibration weak | Manufacturer pack leaks (28) | Multiple generics (3)
139,31,31,0,10,2,True,Header calibration weak | Manufacturer pack leaks (31)
140,26,26,0,10,2,True,Header calibration weak | Manufacturer pack leaks (26)
141,24,24,0,19,2,True,Header calibration weak | Manufacturer pack leaks (24)
142,20,20,0,15,2,True,Header calibration weak | Manufacturer pack leaks (20)
143,29,29,0,16,2,True,Header calibration weak | Manufacturer pack leaks (29)
144,23,23,0,13,2,True,Header calibration weak | Manufacturer pack leaks (23)
145,27,27,0,16,2,True,Header calibration weak | Manufacturer pack leaks (27)
146,19,19,0,7,2,True,Header calibration weak | Manufacturer pack leaks (19)
147,27,27,0,18,2,True,Header calibration weak | Manufacturer pack leaks (27)
148,21,21,0,14,2,True,Header calibration weak | Manufacturer pack leaks (21)
149,24,24,0,11,3,True,Header calibration weak | Manufacturer pack leaks (24) | Multiple generics (3)
153,11,11,0,7,3,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (3)
154,19,19,0,10,2,True,Header calibration weak | Manufacturer pack leaks (19)
155,19,19,0,15,1,True,Header calibration weak | Manufacturer pack leaks (19)
156,10,10,0,3,5,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (5)
157,11,11,0,5,4,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (4)
158,23,23,0,8,3,True,Header calibration weak | Manufacturer pack leaks (23) | Multiple generics (3)
159,11,11,0,2,5,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (5)
160,16,16,0,2,3,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (3)
161,19,19,0,0,1,True,Header calibration weak | Manufacturer pack leaks (19)
162,11,11,0,0,2,True,Header calibration weak | Manufacturer pack leaks (11)
163,8,8,0,4,2,True,Header calibration weak | Manufacturer pack leaks (8)
164,16,16,0,1,1,True,Header calibration weak | Manufacturer pack leaks (16)
165,16,16,0,2,1,True,Header calibration weak | Manufacturer pack leaks (16)
166,16,16,0,0,4,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (4)
167,15,15,0,1,4,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (4)
168,10,10,0,1,3,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (3)
169,13,13,0,0,4,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (4)
170,8,8,0,0,5,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (5)
171,17,17,0,6,6,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (6)
172,6,6,0,1,4,True,Header calibration weak | Manufacturer pack leaks (6) | Multiple generics (4)
180,7,7,0,7,2,True,Header calibration weak | Manufacturer pack leaks (7)
181,31,31,0,4,3,True,Header calibration weak | Manufacturer pack leaks (31) | Multiple generics (3)
182,35,35,0,4,2,True,Header calibration weak | Manufacturer pack leaks (35)
183,36,36,0,4,2,True,Header calibration weak | Manufacturer pack leaks (36)
184,21,21,0,2,2,True,Header calibration weak | Manufacturer pack leaks (21)
185,40,40,0,3,1,True,Header calibration weak | Manufacturer pack leaks (40)
186,21,21,0,1,4,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (4)
187,16,16,0,14,3,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (3)
188,17,17,0,12,2,True,Header calibration weak | Manufacturer pack leaks (17)
189,15,15,0,1,2,True,Header calibration weak | Manufacturer pack leaks (15)
190,23,23,0,20,1,True,Header calibration weak | Manufacturer pack leaks (23)
191,25,25,0,17,2,True,Header calibration weak | Manufacturer pack leaks (25)
192,6,6,0,0,3,True,Header calibration weak | Manufacturer pack leaks (6) | Multiple generics (3)
193,21,21,0,16,2,True,Header calibration weak | Manufacturer pack leaks (21)
194,21,21,0,17,1,True,Header calibration weak | Manufacturer pack leaks (21)
195,23,23,0,20,2,True,Header calibration weak | Manufacturer pack leaks (23)
196,23,23,0,18,1,True,Header calibration weak | Manufacturer pack leaks (23)
197,36,36,0,13,2,True,Header calibration weak | Manufacturer pack leaks (36)
198,16,16,0,0,3,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (3)
199,24,24,0,4,3,True,Header calibration weak | Manufacturer pack leaks (24) | Multiple generics (3)
200,25,25,0,6,3,True,Header calibration weak | Manufacturer pack leaks (25) | Multiple generics (3)
201,19,19,0,5,2,True,Header calibration weak | Manufacturer pack leaks (19)
202,19,19,0,13,1,True,Header calibration weak | Manufacturer pack leaks (19)
203,20,20,0,5,2,True,Header calibration weak | Manufacturer pack leaks (20)
204,19,19,0,3,2,True,Header calibration weak | Manufacturer pack leaks (19)
205,20,20,0,9,1,True,Header calibration weak | Manufacturer pack leaks (20)
206,29,29,0,12,3,True,Header calibration weak | Manufacturer pack leaks (29) | Multiple generics (3)
207,15,15,0,3,2,True,Header calibration weak | Manufacturer pack leaks (15)
208,16,16,0,9,2,True,Header calibration weak | Manufacturer pack leaks (16)
209,16,16,0,13,1,True,Header calibration weak | Manufacturer pack leaks (16)
210,22,22,0,12,2,True,Header calibration weak | Manufacturer pack leaks (22)
211,24,24,0,20,3,True,Header calibration weak | Manufacturer pack leaks (24) | Multiple generics (3)
212,24,24,0,17,1,True,Header calibration weak | Manufacturer pack leaks (24)
213,26,26,0,14,1,True,Header calibration weak | Manufacturer pack leaks (26)
214,13,13,0,3,4,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (4)
215,10,10,0,0,4,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (4)
216,19,19,0,4,4,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (4)
217,22,22,0,3,2,True,Header calibration weak | Manufacturer pack leaks (22)
218,25,25,0,3,2,True,Header calibration weak | Manufacturer pack leaks (25)
219,27,27,0,1,1,True,Header calibration weak | Manufacturer pack leaks (27)
220,27,27,0,2,1,True,Header calibration weak | Manufacturer pack leaks (27)
221,44,44,0,2,1,True,Header calibration weak | Manufacturer pack leaks (44)
222,11,11,0,0,4,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (4)
223,6,6,0,0,3,True,Header calibration weak | Manufacturer pack leaks (6) | Multiple generics (3)
224,22,22,0,14,2,True,Header calibration weak | Manufacturer pack leaks (22)
225,23,23,0,12,1,True,Header calibration weak | Manufacturer pack leaks (23)
226,20,20,0,8,1,True,Header calibration weak | Manufacturer pack leaks (20)
227,33,33,0,9,2,True,Header calibration weak | Manufacturer pack leaks (33)
228,39,39,0,6,4,True,Header calibration weak | Manufacturer pack leaks (39) | Multiple generics (4)
229,26,26,0,8,3,True,Header calibration weak | Manufacturer pack leaks (26) | Multiple generics (3)
230,26,26,0,15,1,True,Header calibration weak | Manufacturer pack leaks (26)
231,26,26,0,16,1,True,Header calibration weak | Manufacturer pack leaks (26)
232,20,20,0,1,3,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (3)
233,12,12,0,4,5,True,Header calibration weak | Manufacturer pack leaks (12) | Multiple generics (5)
234,13,13,0,2,6,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (6)
235,18,18,0,6,5,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (5)
236,15,15,0,6,4,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (4)
237,11,11,0,9,3,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (3)
238,18,18,0,4,4,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (4)
239,17,17,0,3,6,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (6)
240,21,21,0,0,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
241,36,36,0,6,2,True,Header calibration weak | Manufacturer pack leaks (36)
242,29,29,0,3,3,True,Header calibration weak | Manufacturer pack leaks (29) | Multiple generics (3)
243,22,22,0,4,6,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (6)
244,9,9,0,0,7,True,Header calibration weak | Manufacturer pack leaks (9) | Multiple generics (7)
245,21,21,0,8,7,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (7)
246,30,30,0,4,2,True,Header calibration weak | Manufacturer pack leaks (30)
247,20,20,0,1,6,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (6)
248,12,12,0,1,2,True,Header calibration weak | Manufacturer pack leaks (12)
251,5,5,0,2,5,True,Header calibration weak | Manufacturer pack leaks (5) | Multiple generics (5)
252,23,23,0,10,6,True,Header calibration weak | Manufacturer pack leaks (23) | Multiple generics (6)
253,1,1,0,0,3,True,Header calibration weak | Manufacturer pack leaks (1) | Multiple generics (3)
257,15,15,0,4,6,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (6)
258,16,16,0,5,2,True,Header calibration weak | Manufacturer pack leaks (16)
259,30,30,0,17,2,True,Header calibration weak | Manufacturer pack leaks (30)
260,20,20,0,13,2,True,Header calibration weak | Manufacturer pack leaks (20)
