Product,Company,URL,Source,Scraped_By_Selenium,Scraped_By_API,Selenium_Records,API_Records,Selenium_Attempt,Last_Attempt_Records
ACNEIQUE EXFOLIANT,Cepage,https://www.alfabeta.net/precio/acneique-exfoliant.html,selenium,yes,no,1,0,1,1
ACNEIQUE GEL,Cepage,https://www.alfabeta.net/precio/acneique-gel.html,selenium,yes,no,2,0,1,2
ACNEIQUE H2O,Cepage,https://www.alfabeta.net/precio/acneique-h2o.html,selenium,yes,no,2,0,1,2
ACNEIQUE MAT,Cepage,https://www.alfabeta.net/precio/acneique-mat.html,selenium,yes,no,1,0,1,1
ACNEIQUE SERUM,Cepage,https://www.alfabeta.net/precio/acneique-serum.html,selenium,yes,no,1,0,1,1
ACNESAN,Fortbenton,https://www.alfabeta.net/precio/acnesan.html,selenium,yes,no,2,0,1,2
ACNESAN DRY STICK,Fortbenton,https://www.alfabeta.net/precio/acnesan-dry-stick.html,selenium,yes,no,1,0,1,1
ACNETROL,Lagos,https://www.alfabeta.net/precio/acnetrol.html,selenium,yes,no,2,0,1,2
ACNOXIN,Andrómaco,https://www.alfabeta.net/precio/acnoxin.html,selenium,yes,no,4,0,1,4
ACPAN,Gray,https://www.alfabeta.net/precio/acpan.html,selenium,yes,no,2,0,1,2
ACROSS BAP,Novarum Pharma,https://www.alfabeta.net/precio/across-bap.html,selenium,yes,no,1,0,1,1
ACROSS BID,Novarum Pharma,https://www.alfabeta.net/precio/across-bid.html,selenium,yes,no,1,0,1,1
ACROSS BIDC,Novarum Pharma,https://www.alfabeta.net/precio/across-bidc.html,selenium,yes,no,1,0,1,1
ACROSS ENERGY,Novarum Pharma,https://www.alfabeta.net/precio/across-energy.html,selenium,yes,no,1,0,1,1
ACROSS GEL DEPORTIVO,Novarum Pharma,https://www.alfabeta.net/precio/across-gel-deportivo.html,selenium,yes,no,2,0,1,2
ACROSS GEL DEPORTIVO C/CAFEINA,Novarum Pharma,https://www.alfabeta.net/precio/across-gel-deportivo-ccafeina.html,selenium,yes,no,2,0,1,2
ACROSS LEUCINE,Novarum Pharma,https://www.alfabeta.net/precio/across-leucine.html,selenium,yes,no,1,0,1,1
ACROSS SABA,Novarum Pharma,https://www.alfabeta.net/precio/across-saba.html,selenium,yes,no,1,0,1,1
ACROSS SM,Novarum Pharma,https://www.alfabeta.net/precio/across-sm.html,selenium,yes,no,1,0,1,1
ACROSS SMC,Novarum Pharma,https://www.alfabeta.net/precio/across-smc.html,selenium,yes,no,1,0,1,1
ACROSS SP,Novarum Pharma,https://www.alfabeta.net/precio/across-sp.html,selenium,yes,no,1,0,1,1
ACROSS SPBAC,Novarum Pharma,https://www.alfabeta.net/precio/across-spbac.html,selenium,yes,no,1,0,1,1
ACROSS SPC,Novarum Pharma,https://www.alfabeta.net/precio/across-spc.html,selenium,yes,no,1,0,1,1
ACROSS SR,Novarum Pharma,https://www.alfabeta.net/precio/across-sr.html,selenium,yes,no,1,0,1,1
ACROSS SRC,Novarum Pharma,https://www.alfabeta.net/precio/across-src.html,selenium,yes,no,1,0,1,1
